Ref,Val,Package,PosX,PosY,Rot,Side
"RGB10","RGB_6028","CP-6028SMDRGB-CA",-180.975000,-14.605000,180.000000,bottom
"RGB11","RGB_6028","CP-6028SMDRGB-CA",-200.025000,-14.605000,180.000000,bottom
"RGB12","RGB_6028","CP-6028SMDRGB-CA",-219.075000,-14.605000,180.000000,bottom
"RGB13","RGB_6028","CP-6028SMDRGB-CA",-238.125000,-14.605000,180.000000,bottom
"RGB14","RGB_6028","CP-6028SMDRGB-CA",-11.906250,-33.655000,180.000000,bottom
"RGB15","RGB_6028","CP-6028SMDRGB-CA",-33.337500,-33.655000,180.000000,bottom
"RGB16","RGB_6028","CP-6028SMDRGB-CA",-52.387500,-33.655000,180.000000,bottom
"RGB17","RGB_6028","CP-6028SMDRGB-CA",-71.437500,-33.655000,180.000000,bottom
"RGB18","RGB_6028","CP-6028SMDRGB-CA",-90.487500,-33.655000,180.000000,bottom
"RGB19","RGB_6028","CP-6028SMDRGB-CA",-109.537500,-33.655000,180.000000,bottom
"RGB20","RGB_6028","CP-6028SMDRGB-CA",-128.587500,-33.655000,180.000000,bottom
"RGB21","RGB_6028","CP-6028SMDRGB-CA",-147.637500,-33.655000,180.000000,bottom
"RGB22","RGB_6028","CP-6028SMDRGB-CA",-166.687500,-33.655000,180.000000,bottom
"RGB23","RGB_6028","CP-6028SMDRGB-CA",-185.737500,-33.655000,180.000000,bottom
"RGB24","RGB_6028","CP-6028SMDRGB-CA",-204.787500,-33.655000,180.000000,bottom
"RGB26","RGB_6028","CP-6028SMDRGB-CA",-230.981250,-33.655000,180.000000,bottom
"RGB27","RGB_6028","CP-6028SMDRGB-CA",-16.668750,-52.705000,180.000000,bottom
"RGB28","RGB_6028","CP-6028SMDRGB-CA",-21.825000,-26.600000,180.000000,bottom
"RGB29","RGB_6028","CP-6028SMDRGB-CA",-42.862500,-52.705000,180.000000,bottom
"RGB30","RGB_6028","CP-6028SMDRGB-CA",-61.912500,-52.705000,180.000000,bottom
"RGB31","RGB_6028","CP-6028SMDRGB-CA",-80.962500,-52.705000,180.000000,bottom
"RGB32","RGB_6028","CP-6028SMDRGB-CA",-100.012500,-52.705000,180.000000,bottom
"RGB33","RGB_6028","CP-6028SMDRGB-CA",-119.062500,-52.705000,180.000000,bottom
"RGB34","RGB_6028","CP-6028SMDRGB-CA",-138.112500,-52.705000,180.000000,bottom
"RGB35","RGB_6028","CP-6028SMDRGB-CA",-157.162500,-52.705000,180.000000,bottom
"RGB36","RGB_6028","CP-6028SMDRGB-CA",-176.212500,-52.705000,180.000000,bottom
"RGB37","RGB_6028","CP-6028SMDRGB-CA",-195.262500,-52.705000,180.000000,bottom
"RGB38","RGB_6028","CP-6028SMDRGB-CA",-215.503124,-52.705000,180.000000,bottom
"RGB39","RGB_6028","CP-6028SMDRGB-CA",-236.934392,-52.705000,180.000000,bottom
"RGB40","RGB_6028","CP-6028SMDRGB-CA",-11.906250,-71.755000,180.000000,bottom
"RGB41","RGB_6028","CP-6028SMDRGB-CA",-33.337500,-71.755000,180.000000,bottom
"RGB42","RGB_6028","CP-6028SMDRGB-CA",-52.387500,-71.755000,180.000000,bottom
"RGB43","RGB_6028","CP-6028SMDRGB-CA",-71.437500,-71.755000,180.000000,bottom
"RGB45","RGB_6028","CP-6028SMDRGB-CA",-97.631250,-71.755000,180.000000,bottom
"RGB47","RGB_6028","CP-6028SMDRGB-CA",-140.493750,-71.755000,180.000000,bottom
"RGB49","RGB_6028","CP-6028SMDRGB-CA",-176.212500,-71.755000,180.000000,bottom
"RGB50","RGB_6028","CP-6028SMDRGB-CA",-195.262500,-71.755000,180.000000,bottom
"RGB51","RGB_6028","CP-6028SMDRGB-CA",-214.312500,-71.755000,180.000000,bottom
"RGB52","RGB_6028","CP-6028SMDRGB-CA",-235.743750,-71.755000,180.000000,bottom
"U1","ATmega32U4","ATMEGA32U4-MU",-118.467279,-62.230040,-90.000000,bottom
"U2","USBLC6-2SC6","USBLC6-2SC6",-19.050008,-11.033122,90.000000,bottom
"U3","IS31FL3733-QF","QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm",-155.971998,-62.825353,180.000000,bottom
"X1","16mhz","Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2",-125.611035,-62.230040,90.000000,bottom
